ID,Nombre (Español),Músculo,Equipamiento,Fase Inicial Prompt,Fase Final Prompt
"press_banca_barra","Press de banca con barra","Pecho","barra","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding a barbell in the starting relaxed stretch phase of press de banca con barra. The chest (pectoralis major) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding a barbell at the peak contraction finish phase of press de banca con barra, squeezing the muscles tightly. The chest (pectoralis major) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"press_banca_mancuernas","Press de banca con mancuernas","Pecho","mancuernas","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding dumbbells in the starting relaxed stretch phase of press de banca con mancuernas. The chest (pectoralis major) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding dumbbells at the peak contraction finish phase of press de banca con mancuernas, squeezing the muscles tightly. The chest (pectoralis major) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"press_maquina","Press en máquina","Pecho","maquina","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, seated or positioned in a exercise machine, in the starting relaxed stretch phase of press en máquina. The chest (pectoralis major) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, positioned in a exercise machine at the peak contraction finish phase of press en máquina, squeezing the target muscles. The chest (pectoralis major) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"flexiones_tradicionales","Flexiones tradicionales","Pecho","peso_corporal","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, in the starting relaxed stretch phase of flexiones tradicionales. The chest (pectoralis major) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, at the peak contraction finish phase of flexiones tradicionales, squeezing the target muscles. The chest (pectoralis major) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"aperturas_pec_deck","Aperturas en máquina pec deck","Pecho","maquina","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, seated or positioned in a exercise machine, in the starting relaxed stretch phase of aperturas en máquina pec deck. The chest (pectoralis major) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, positioned in a exercise machine at the peak contraction finish phase of aperturas en máquina pec deck, squeezing the target muscles. The chest (pectoralis major) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"press_inclinado_barra","Press inclinado con barra","Pecho","barra","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding a barbell in the starting relaxed stretch phase of press inclinado con barra. The chest (pectoralis major) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding a barbell at the peak contraction finish phase of press inclinado con barra, squeezing the muscles tightly. The chest (pectoralis major) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"press_inclinado_mancuernas","Press inclinado con mancuernas","Pecho","mancuernas","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding dumbbells in the starting relaxed stretch phase of press inclinado con mancuernas. The chest (pectoralis major) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding dumbbells at the peak contraction finish phase of press inclinado con mancuernas, squeezing the muscles tightly. The chest (pectoralis major) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"press_inclinado_maquina","Press inclinado en máquina","Pecho","maquina","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, seated or positioned in a exercise machine, in the starting relaxed stretch phase of press inclinado en máquina. The chest (pectoralis major) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, positioned in a exercise machine at the peak contraction finish phase of press inclinado en máquina, squeezing the target muscles. The chest (pectoralis major) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"aperturas_inclinadas_mancuernas","Aperturas inclinadas con mancuernas","Pecho","mancuernas","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding dumbbells in the starting relaxed stretch phase of aperturas inclinadas con mancuernas. The chest (pectoralis major) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding dumbbells at the peak contraction finish phase of aperturas inclinadas con mancuernas, squeezing the muscles tightly. The chest (pectoralis major) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"cruce_poleas_abajo_arriba","Cruce de poleas de abajo hacia arriba","Pecho","poleas","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding the cable pulley attachment in the starting relaxed stretch phase of cruce de poleas de abajo hacia arriba. The chest (pectoralis major) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding the cable pulley attachment at the peak contraction finish phase of cruce de poleas de abajo hacia arriba, squeezing the muscles tightly. The chest (pectoralis major) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
